Category: All categories

Region,Anime: (1/1/04 - 3/26/21)
Hawaii,100
Nevada,90
Alaska,84
California,76
Arkansas,75
Texas,75
Oklahoma,72
Idaho,70
New Mexico,69
Washington,69
Arizona,69
Kansas,67
Oregon,67
West Virginia,66
Florida,66
Utah,65
Virginia,64
Kentucky,64
Indiana,64
Maryland,64
Louisiana,63
Delaware,63
Alabama,63
Mississippi,62
South Carolina,62
North Dakota,61
North Carolina,60
New Jersey,60
Georgia,59
Minnesota,59
Wyoming,59
Tennessee,58
Rhode Island,58
Michigan,57
Missouri,57
Montana,57
Iowa,57
Ohio,57
South Dakota,57
Nebraska,56
Maine,56
Wisconsin,54
New York,54
Colorado,54
Illinois,53
New Hampshire,53
Connecticut,53
Pennsylvania,52
Massachusetts,50
Vermont,44
District of Columbia,32
